hh,ctotal,ctotal_dur,ctotal_gift,ctotal_dur_gift,ctotal_nogift,ctotal_dur_nogift,ctotal_own,ctotal_dur_own,cfood,cnodur,cdur
H00101-04-01,2572.5871606446353,2572.5871606446353,364.1438174796764,364.1438174796764,2027.5311281113616,2027.5311281113616,273.6877099528778,273.6877099528778,1597.0528317786996,975.5343288659355,0.0
H00102-04-01,1060.114655049113,1077.5100603427281,158.33684462810558,158.33684462810558,706.7946453076861,706.7946453076861,194.9831651133214,194.9831651133214,556.8075952205157,503.3070598285973,17.395405293615113
H00104-04-01,1563.6149971587506,1563.6149971587506,44.53223755165469,44.53223755165469,1197.4610439562564,1197.4610439562564,391.2033368252999,391.2033368252999,1361.364418278319,202.25057888043173,0.0
H00110-04-01,2657.708677214725,2657.708677214725,0.0,0.0,2657.708677214725,2657.708677214725,92.7754948992806,92.7754948992806,1407.0950059724225,1250.6136712423026,0.0
H00208-04-01,4628.260188875445,4628.260188875445,60.304071684532396,60.304071684532396,4417.195937979582,4417.195937979582,1194.4844968282378,1194.4844968282378,1467.399077656955,3160.8611112184904,0.0
H00209-04-01,2630.3399062194376,2638.071197461044,321.62171565083946,321.62171565083946,2308.718190568598,2308.718190568598,0.0,0.0,1744.797807405804,885.5420988136334,7.731291241606717
H00211-04-01,3181.4263459211643,3188.3845080386104,6.9581621174460455,6.9581621174460455,3174.468183803718,3174.468183803718,927.7549489928061,927.7549489928061,1780.9802504165234,1400.4460955046409,6.9581621174460455
H00213-04-01,,,,,,,,,,,
H00301-04-01,2349.9259728863617,2349.9259728863617,0.0,0.0,2349.9259728863617,2349.9259728863617,0.0,0.0,1313.6236948613973,1036.3022780249644,0.0
H00302-04-01,2149.1443393418353,2149.1443393418353,0.0,0.0,2149.1443393418353,2149.1443393418353,0.0,0.0,1097.5341046584897,1051.6102346833457,0.0
H00303-04-01,1425.1862274777823,1447.993536640522,13.916324234892091,13.916324234892091,1411.2699032428902,1411.2699032428902,0.0,0.0,804.0542891270986,621.1319383506836,22.807309162739816
H00304-04-01,1079.674821890378,1079.674821890378,34.790810587230226,34.790810587230226,1044.8840113031479,1044.8840113031479,0.0,0.0,747.7704888882017,331.9043330021764,0.0
H00307-04-01,2245.398915299839,2245.398915299839,10.050678614088733,10.050678614088733,2235.34823668575,2235.34823668575,0.0,0.0,1311.6135591385796,933.7853561612593,0.0
H00312-04-01,3957.106796191566,3957.106796191566,0.0,0.0,3756.0932239097915,3756.0932239097915,201.01357228177466,201.01357228177466,2234.2658559119254,1722.8409402796408,0.0
H00313-04-01,,,,,,,,,,,
H00606-04-01,4366.092102872562,5448.472876697502,217.55853553881303,217.55853553881303,4148.533567333749,4148.533567333749,0.0,0.0,2853.387658539791,1512.7044443327702,1082.3807738249404
H00704-04-01,2076.624827495564,2076.624827495564,371.1019795971224,371.1019795971224,1705.5228478984418,1705.5228478984418,0.0,0.0,1336.7402556738014,739.8845718217628,0.0
H00707-04-01,6664.682301914655,6706.044710057251,0.0,0.0,6664.682301914655,6664.682301914655,2319.387372482015,2319.387372482015,2655.389289842243,4009.2930120724113,41.36240814259594
H00710-04-01,2067.5019038304686,2067.5019038304686,83.49794540935255,83.49794540935255,1984.0039584211158,1984.0039584211158,770.036607664029,770.036607664029,910.5914824364392,1156.910421394029,0.0
H00712-04-01,8218.532678235257,8218.532678235257,0.0,0.0,8218.532678235257,8218.532678235257,1391.632423489209,1391.632423489209,3010.580272064139,5207.952406171117,0.0
H00801-04-01,9457.533950032665,9457.533950032665,556.6529693956836,556.6529693956836,8900.88098063698,8900.88098063698,0.0,0.0,4311.741125444066,5145.792824588599,0.0
H00802-04-01,2534.471894823514,2534.471894823514,0.0,0.0,2534.471894823514,2534.471894823514,0.0,0.0,1366.8922915160676,1167.5796033074464,0.0
H00803-04-01,5544.614575803378,5554.278689855387,48.285006320330595,48.285006320330595,5496.329569483048,5496.329569483048,1623.5711607374105,1623.5711607374105,1565.8957280750246,3978.7188477283535,9.664114052008397
H00805-04-01,1381.8523400685767,1381.8523400685767,157.71834132877703,157.71834132877703,1224.1339987397996,1224.1339987397996,0.0,0.0,831.6936553158426,550.158684752734,0.0
H00809-04-01,7149.666201500644,7149.666201500644,927.7549489928061,927.7549489928061,6221.911252507838,6221.911252507838,0.0,0.0,1898.5731902013615,5251.093011299283,0.0
H00810-04-02,,,,,,,,,,,
H00810-04-03,4685.239805326087,4685.239805326087,0.0,0.0,4685.239805326087,4685.239805326087,0.0,0.0,1605.0933746699707,3080.146430656116,0.0
H00811-04-01,3585.309000382699,3585.309000382699,0.0,0.0,3585.309000382699,3585.309000382699,1159.6936862410075,1159.6936862410075,1368.9024272388854,2216.4065731438136,0.0
H01209-04-01,4533.165306603682,4533.165306603682,0.0,0.0,4452.759877690973,4452.759877690973,1703.9765896501206,1703.9765896501206,2016.1661299861998,2516.999176617483,0.0
H01209-04-02,1839.5061251154862,1839.5061251154862,307.70539141594736,307.70539141594736,1531.8007336995388,1531.8007336995388,0.0,0.0,1088.4884939058097,751.0176312096766,0.0
H01209-04-03,5924.40343423957,5924.40343423957,0.30152035842266195,0.30152035842266195,5883.899199424793,5883.899199424793,1663.7738751937657,1663.7738751937657,2598.100421741937,3326.3030124976326,0.0
H01210-04-01,4048.722597404606,4048.722597404606,55.665296939568364,55.665296939568364,3993.0573004650373,3993.0573004650373,0.0,0.0,1742.7876716829862,2305.9349257216195,0.0
H01401-04-01,,,,,,,,,,,
H01402-04-01,4479.664771211764,4479.664771211764,1688.514007166907,1688.514007166907,2791.150764044857,2791.150764044857,0.0,0.0,1688.514007166907,2791.150764044857,0.0
H01406-04-01,3331.10414435867,3331.10414435867,208.74486352338135,208.74486352338135,3122.3592808352887,3122.3592808352887,0.0,0.0,458.3109448024462,2872.793199556224,0.0
H01409-04-01,1704.440467963311,1704.440467963311,68.34461541449735,68.34461541449735,1636.0958525488136,1636.0958525488136,695.8162117446045,695.8162117446045,309.56090215262697,1394.879565810684,
H01601-04-01,2763.434084943697,2763.434084943697,271.98682587972434,271.98682587972434,2491.4472590639725,2491.4472590639725,0.0,0.0,1310.1059573464663,1453.3281275972308,0.0
H01604-04-01,,,,,,,,,,,
H01605-04-01,,,,,,,,,,,
H01607-04-01,2675.567959982837,2675.567959982837,0.0,0.0,2635.365245526482,2635.365245526482,411.30469405347736,411.30469405347736,1904.603597369815,770.9643626130219,0.0
H01612-04-01,2947.593442318769,2947.593442318769,0.0,0.0,2947.593442318769,2947.593442318769,0.0,0.0,1623.6871301060348,1323.9063122127343,0.0
H01801-04-01,3260.1308907607204,3260.1308907607204,0.0,0.0,3260.1308907607204,3260.1308907607204,695.8162117446045,695.8162117446045,1266.3855053751804,1993.7453853855402,0.0
H01806-04-01,2091.5462195918653,2176.590423249539,210.2911217717027,210.2911217717027,1881.2550978201625,1881.2550978201625,0.0,0.0,1373.9277665459297,717.6184530459356,85.04420365767389
H01806-04-02,2558.206958935247,2558.206958935247,0.0,0.0,2372.2694045746052,2372.2694045746052,325.1007967095625,325.1007967095625,1681.478532137045,876.7284267982018,0.0
H01809-04-01,3086.718028211482,3086.718028211482,0.0,0.0,3026.4139565269493,3026.4139565269493,524.1815461809355,524.1815461809355,1948.8265832718052,1137.8914449396766,0.0
H01813-04-01,6003.85018303832,6237.721743096924,129.88569285899285,129.88569285899285,5873.964490179327,5873.964490179327,1391.632423489209,1391.632423489209,3075.507655911152,2928.342527127168,233.8715600586032
H02108-04-01,2112.266080119371,2112.266080119371,0.0,0.0,2112.266080119371,2112.266080119371,0.0,0.0,1528.7082172028963,583.5578629164751,0.0
H02110-04-01,4031.0179404613264,4031.0179404613264,0.0,0.0,4031.0179404613264,4031.0179404613264,1391.632423489209,1391.632423489209,1856.360340022189,2174.6576004391372,0.0
H02111-04-01,4607.308389610691,4607.308389610691,0.0,0.0,4607.308389610691,4607.308389610691,0.0,0.0,2316.681420547453,2290.626969063238,0.0
H02113-04-01,2305.239109509875,2316.836046372285,491.51684068514703,491.51684068514703,1662.9620896133968,1662.9620896133968,846.5763909559355,846.5763909559355,714.6032494617089,1590.635860048166,11.596936862410075
H02203-04-01,2849.3673870941557,2849.3673870941557,0.0,0.0,2849.3673870941557,2849.3673870941557,0.0,0.0,1516.6474028659898,1332.719984228166,0.0
H02205-04-01,,,,,,,,,,,
H02206-04-01,3932.675915868089,3932.675915868089,0.0,0.0,3932.675915868089,3932.675915868089,927.7549489928061,927.7549489928061,1958.8772618858939,1973.798653982195,0.0
H02207-04-01,4669.506627649417,5029.0116703841295,427.1538410987711,427.1538410987711,3675.4945127160413,3675.4945127160413,775.6031373579859,775.6031373579859,3221.7450297461432,1447.761597903274,359.50504273471233
H02304-04-01,2719.4043813227468,2719.4043813227468,138.6993648744245,138.6993648744245,2580.705016448322,2580.705016448322,0.0,0.0,1563.8855923522067,1155.51878897054,0.0
H02305-04-01,3989.26896775665,3989.26896775665,70.35475029862113,70.35475029862113,3748.0526810185206,3748.0526810185206,170.86153643950846,170.86153643950846,1530.718352925714,2458.550614830936,0.0
H02310-04-01,3296.429303140064,3296.429303140064,9.277549489928061,9.277549489928061,3287.151753650136,3287.151753650136,1660.681358697123,1660.681358697123,1159.3457781351353,2137.083525004929,0.0
H02401-04-01,2040.6433980571267,2040.6433980571267,0.0,0.0,2040.6433980571267,2040.6433980571267,0.0,0.0,1154.8229727587955,885.8204252983312,0.0
H02407-04-01,1565.5478199691522,1565.5478199691522,170.86153643950846,170.86153643950846,1394.6862835296438,1394.6862835296438,0.0,0.0,1097.0315707277853,468.51624924136706,0.0
H02409-04-01,1009.6293232414212,1009.6293232414212,0.0,0.0,1009.6293232414212,1009.6293232414212,0.0,0.0,461.3261483866728,548.3031748547484,0.0
H02412-04-01,3250.544089621128,3250.544089621128,34.790810587230226,34.790810587230226,3215.753279033898,3215.753279033898,927.7549489928061,927.7549489928061,1702.5849572266313,1547.959132394497,0.0
H02507-04-01,4404.361994518515,4821.851721565277,139.1632423489209,139.1632423489209,4265.198752169594,4265.198752169594,927.7549489928061,927.7549489928061,2931.782951729683,1472.5790427888314,417.4897270467627
H02601-04-01,3904.14745118656,3904.14745118656,0.0,0.0,3904.14745118656,3904.14745118656,0.0,0.0,1274.4260482664513,2629.7214029201086,0.0
H02601-04-02,4770.052070246513,4777.783361488119,80.40542891270987,80.40542891270987,4689.646641333803,4689.646641333803,0.0,0.0,1628.2099354823747,3141.842134764138,7.731291241606717
H02602-04-01,6312.599298771885,6312.599298771885,70.35475029862113,70.35475029862113,6242.244548473263,6242.244548473263,69.58162117446045,69.58162117446045,4325.812075503791,1986.7872232680943,0.0
H02608-04-01,2249.651125482723,2249.651125482723,64.32434313016789,64.32434313016789,2185.326782352555,2185.326782352555,742.2039591942448,742.2039591942448,1185.9800764624704,1063.6710490202522,0.0
H02608-04-02,,,,,,,,,,,
H02609-04-01,1457.9669024620082,1457.9669024620082,0.0,0.0,1457.9669024620082,1457.9669024620082,0.0,0.0,805.0593571083209,652.9075453536873,0.0
H02703-04-02,3323.720761222936,3323.720761222936,552.7873237748803,552.7873237748803,2770.9334374480554,2770.9334374480554,0.0,0.0,1550.317176223187,1773.4035849997488,0.0
H02705-04-01,4139.526613037277,4139.526613037277,0.0,0.0,4139.526613037277,4139.526613037277,463.87747449640307,463.87747449640307,1674.9455910378872,2464.581021999389,0.0
H02705-04-02,821.6043202455459,821.6043202455459,54.27366451607916,54.27366451607916,767.3306557294667,767.3306557294667,0.0,0.0,483.437641337668,338.16667890787784,0.0
H02706-04-01,2904.6461194716435,2904.6461194716435,0.0,0.0,2904.6461194716435,2904.6461194716435,0.0,0.0,2054.358708719737,850.2874107519068,0.0
H02710-04-01,3223.2526315382565,3251.8584091322014,319.920831577686,319.920831577686,2432.9600408212177,2432.9600408212177,1676.4531928300005,1676.4531928300005,1769.9245039410257,1453.3281275972308,28.605777593944854
H02711-04-01,1495.6182906888196,1495.6182906888196,0.0,0.0,1445.3648976183758,1445.3648976183758,143.02888796972428,143.02888796972428,598.0153775382796,897.6029131505398,0.0
H02711-04-02,2505.5568655799048,2598.3323604791854,0.0,0.0,2505.5568655799048,2505.5568655799048,0.0,0.0,1268.3956410979981,1237.1612244819069,92.7754948992806
H02711-04-03,8556.68389456065,8556.68389456065,0.0,0.0,8556.68389456065,8556.68389456065,0.0,0.0,4402.197232970865,4154.486661589785,0.0
H02802-04-01,9041.745107059056,9041.745107059056,166.9958908187051,166.9958908187051,8874.74921624035,8874.74921624035,695.8162117446045,695.8162117446045,2361.909474310852,6679.835632748203,0.0
H02803-04-01,1211.8799021218529,2238.9819435693053,46.3877474496403,46.3877474496403,1165.4921546722126,1165.4921546722126,417.4897270467627,417.4897270467627,509.56940573429875,702.3104963875542,1027.1020414474524
H02811-04-01,1684.2617969840235,1684.2617969840235,0.0,0.0,1684.2617969840235,1684.2617969840235,695.8162117446045,695.8162117446045,487.4579127833035,1196.80388420072,0.0
H03001-04-01,3069.245310005451,3069.245310005451,115.96936862410077,115.96936862410077,2937.194855598808,2937.194855598808,943.836034775348,943.836034775348,1329.7047806439393,1739.5405293615113,0.0
H03003-04-01,,,,,,,,,,,
H03005-04-01,3963.0985469038114,3963.0985469038114,0.0,0.0,3762.0849746220365,3762.0849746220365,2984.278419260193,2984.278419260193,852.800080405429,3110.2984664983824,0.0
H03006-04-01,,,,,,,,,,,
H03010-04-01,2792.001206081434,2792.001206081434,1145.7773620061155,1145.7773620061155,1646.2238440753183,1646.2238440753183,463.87747449640307,463.87747449640307,1705.600160810858,1086.4010452705759,0.0
H03401-04-01,4313.596635342052,4313.596635342052,0.0,0.0,4313.596635342052,4313.596635342052,1391.632423489209,1391.632423489209,1724.6964501776265,2588.9001851644252,0.0
H03408-04-01,1946.8937604614036,1950.7594060822069,485.52508997290187,485.52508997290187,1119.6455976094849,1119.6455976094849,620.0495575768588,620.0495575768588,1411.115277418058,535.7784830433455,3.8656456208033587
H03409-04-01,,,,,,,,,,,
H03409-04-02,2434.7382378067873,2434.7382378067873,60.304071684532396,60.304071684532396,2374.434166122255,2374.434166122255,0.0,0.0,1611.1237818384238,823.6144559683636,0.0
H03410-04-01,6094.576885758575,6094.576885758575,40.20271445635493,40.20271445635493,5893.5633134768,5893.5633134768,1482.8616601401684,1482.8616601401684,3312.703671203646,2781.873214554929,0.0
H03410-04-02,3492.8087394516197,3492.8087394516197,84.42570035834535,84.42570035834535,3408.3830390932744,3408.3830390932744,0.0,0.0,2155.528839649154,1337.2798998024655,0.0
H03503-04-01,2248.4141188840654,2248.4141188840654,0.0,0.0,2248.4141188840654,2248.4141188840654,0.0,0.0,1290.5071340489933,957.9069848350723,0.0
H03511-04-01,1730.3402927839993,1730.3402927839993,27.832648469784182,27.832648469784182,1702.5076443142152,1702.5076443142152,278.3264846978418,278.3264846978418,685.4562814808515,1044.8840113031479,0.0
H03512-04-01,1697.9461824816672,1697.9461824816672,27.832648469784182,27.832648469784182,765.5524587438972,765.5524587438972,904.5610752679859,904.5610752679859,924.6624324961634,773.2837499855038,0.0
H03515-04-01,1121.7330462447187,1121.7330462447187,150.76017921133098,150.76017921133098,970.9728670333876,970.9728670333876,46.3877474496403,46.3877474496403,863.3532929502221,258.3797532944965,0.0
H03601-04-01,1527.0846460421587,1538.6815829045688,37.110197959712245,37.110197959712245,742.2039591942448,742.2039591942448,886.9337312371226,886.9337312371226,1037.2300329739571,489.8546130682016,11.596936862410075
H03602-04-04,3503.550595502708,3519.0131779859216,201.78670140593533,201.78670140593533,2278.60481118254,2278.60481118254,1060.2692808739453,1060.2692808739453,1379.4556397836786,2124.0949557190297,15.462582483213435
H03603-04-05,1890.3007085728425,1890.3007085728425,197.92105578513195,197.92105578513195,1163.7139576866432,1163.7139576866432,667.8289374499882,667.8289374499882,802.0441534042809,1088.2565551685616,0.0
H03604-04-04,2878.0504776005164,2878.0504776005164,231.93873724820153,231.93873724820153,2244.084595788766,2244.084595788766,541.1903869124702,541.1903869124702,1714.6457715635377,1163.4047060369787,0.0
H03604-04-08,2527.9389537243565,2527.9389537243565,327.8067486441248,327.8067486441248,1552.8685023329172,1552.8685023329172,763.2330713714151,763.2330713714151,1536.7487600941672,991.1901936301892,0.0
H03604-04-09,3572.3204310968,4094.5691544673336,1086.5556710954081,1086.5556710954081,2194.2950801928187,2194.2950801928187,323.94110302332143,323.94110302332143,2547.8470286714937,1024.4734024253062,522.2487233705338
H03605-04-02,3066.9259226329686,3070.791568253772,138.2354873999281,138.2354873999281,2237.2037465837357,2237.2037465837357,784.2621835485854,784.2621835485854,2179.992191395846,886.9337312371226,3.8656456208033587
H03607-04-01,2428.321266076254,2428.321266076254,194.0554101643286,194.0554101643286,1412.1203452794668,1412.1203452794668,1081.916896350444,1081.916896350444,1180.954737155426,1247.3665289208277,0.0
H03608-04-01,758.6716095388672,758.6716095388672,102.05304438920867,102.05304438920867,455.6049928678839,455.6049928678839,270.5951934562351,270.5951934562351,503.5389985658455,255.13261097302168,
