,hh,ctotal,inctotal,wtotal,sex,region,urban,classeduc
0,H00101-04-01,2441.3385203958983,1513.2263556172916,1474.7078665652152,2.0,1.0,0.0,13.0
1,H00102-04-01,982.7521926607328,200.25922675707528,94.60566615462132,2.0,1.0,0.0,
2,H00104-04-01,1472.2771564494178,77.89248472896125,730.1510484406367,1.0,1.0,1.0,16.0
3,H00110-04-01,2522.117294579395,24.615148718041283,6512.19254907107,1.0,1.0,0.0,17.0
4,H00801-04-01,8901.131716052874,15513.384358956848,3609.1175619336755,1.0,1.0,1.0,
5,H01607-04-01,2519.275905621647,-4707.927332254733,18592.280934370756,2.0,1.0,1.0,14.0
6,H02110-04-01,3793.866543581853,-427015.99206089217,29258.59217043409,1.0,1.0,1.0,17.0
7,H02113-04-01,2169.6181117777496,741.8077534950804,3987.8566125357875,2.0,1.0,1.0,15.0
8,H02207-04-01,4431.277033376746,-15751.42075447858,56380.612953783035,2.0,1.0,1.0,41.0
9,H02310-04-01,3103.8699230197058,209749.8292354379,14757.350003976662,2.0,1.0,1.0,17.0
10,H02710-04-01,3033.6233926325976,,11660.505832658699,2.0,1.0,1.0,16.0
11,H02711-04-01,1407.6286136211081,1333022.6126017785,1513.1370907340886,1.0,1.0,1.0,41.0
12,H03005-04-01,3763.9694372231415,297204.445397166,14795.79484399222,2.0,1.0,1.0,41.0
13,H03408-04-01,1804.818094777026,220.7584995206511,223.25503793306467,2.0,1.0,0.0,
14,H03601-04-01,1437.4046170708639,382.59134090294475,1109.782321300662,1.0,1.0,0.0,
15,H03602-04-04,3297.800036932554,194989.6520755019,1261.1493526649488,2.0,1.0,0.0,
16,H03603-04-05,1764.0159170572847,303.74261828710763,379.4979028106878,2.0,1.0,0.0,16.0
17,H03604-04-04,2685.7773631237,345.8159377308682,1363.5951260688212,2.0,1.0,0.0,
18,H03604-04-08,2359.055642044195,179.97476221990823,2011.122441225841,1.0,1.0,0.0,34.0
19,H03604-04-09,3333.665417732061,1248141.8823731912,747.452143178465,1.0,1.0,0.0,34.0
20,H03605-04-02,2862.0346590488925,1200.8619521744015,957.0417644075619,1.0,1.0,0.0,13.0
21,H03607-04-01,2266.0930854336298,331612.40771311574,1001.7734563738403,1.0,1.0,0.0,13.0
22,H03608-04-01,714.1176340277636,357.37416499589074,773.208994348822,2.0,1.0,0.0,12.0
23,H03704-04-01,1434.4945313758412,487.9562201469997,60.57831635877707,1.0,1.0,0.0,15.0
24,H03705-04-01,1801.1218448053853,1023119.2357850263,703.0756110730794,2.0,1.0,0.0,34.0
25,H03706-04-01,1632.0165568365808,-21459.765770529626,1365.7656779069737,1.0,1.0,0.0,13.0
26,H03707-04-01,2776.3898255966214,503.2597145609995,3269.4966090763905,2.0,1.0,0.0,15.0
27,H03709-04-01,924.7555348150769,189.33006727963524,1930.796155944295,1.0,1.0,0.0,13.0
28,H03711-04-02,1633.1679270198395,-8985.921173695611,408.5058401806089,1.0,1.0,0.0,32.0
29,H03711-04-03,1429.4804631058273,-5477.436240421333,1208.8438127793531,2.0,1.0,0.0,12.0
30,H03807-04-01,1858.139666134976,92.54635215985407,2648.2104766052503,2.0,1.0,1.0,12.0
31,H03809-04-01,3589.460408425814,245711.03624725368,15598.88002590824,2.0,1.0,1.0,17.0
32,H03810-04-01,1630.1004339189392,39.965396370280125,2358.0675809185773,1.0,1.0,1.0,51.0
33,H03902-04-01,1276.5434263666016,184.9127025798435,671.0702966720428,2.0,1.0,0.0,15.0
34,H03903-04-01,2390.094446710392,-1174.1340220725601,285.9643552096642,2.0,1.0,0.0,31.0
