,hh2,hh
0,H00101-04-01,1010401
1,H00102-04-01,1020401
2,H00104-04-01,1040401
3,H00110-04-01,1100401
4,H00801-04-01,8010401
5,H01607-04-01,16070401
6,H02110-04-01,21100401
7,H02113-04-01,21130401
8,H02207-04-01,22070401
9,H02310-04-01,23100401
10,H02710-04-01,27100401
11,H02711-04-01,27110401
12,H03005-04-01,30050401
13,H03408-04-01,34080401
14,H03601-04-01,36010401
15,H03602-04-04,36020404
16,H03603-04-05,36030405
17,H03604-04-04,36040404
18,H03604-04-08,36040408
19,H03604-04-09,36040409
20,H03605-04-02,36050402
21,H03607-04-01,36070401
22,H03608-04-01,36080401
23,H03704-04-01,37040401
24,H03705-04-01,37050401
25,H03706-04-01,37060401
26,H03707-04-01,37070401
27,H03709-04-01,37090401
28,H03711-04-02,37110402
29,H03711-04-03,37110403
30,H03807-04-01,38070401
31,H03809-04-01,38090401
32,H03810-04-01,38100401
33,H03902-04-01,39020401
34,H03903-04-01,39030401
35,H03906-04-01,39060401
36,H03907-04-01,39070401
37,H03908-04-01,39080401
38,H03909-04-01,39090401
39,H03909-04-02,39090402
40,H03910-04-01,39100401
41,H04001-04-01,40010401
42,H04002-04-01,40020401
43,H04003-04-01,40030401
44,H04004-04-01,40040401
45,H04005-04-01,40050401
46,H04007-04-01,40070401
47,H04010-04-01,40100401
48,H04011-04-01,40110401
49,H04201-04-01,42010401
50,H04202-04-01,42020401
51,H04203-04-01,42030401
52,H04204-04-01,42040401
53,H04205-04-01,42050401
54,H04206-04-01,42060401
55,H04207-04-01,42070401
56,H04208-04-01,42080401
57,H04208-04-02,42080402
58,H04209-04-01,42090401
59,H04210-04-01,42100401
60,H04508-04-03,45080403
61,H04509-04-01,45090401
62,H04602-04-01,46020401
63,H04603-04-01,46030401
64,H04604-04-01,46040401
65,H04606-04-01,46060401
66,H04606-04-02,46060402
67,H04607-04-01,46070401
68,H04608-04-01,46080401
69,H04609-04-01,46090401
70,H04610-04-01,46100401
71,H04610-04-02,46100402
72,H04610-04-03,46100403
73,H04801-04-01,48010401
74,H04802-04-01,48020401
75,H04802-04-02,48020402
76,H04803-04-02,48030402
77,H04804-04-01,48040401
78,H04805-04-01,48050401
79,H04806-04-01,48060401
80,H04807-04-01,48070401
81,H04808-04-01,48080401
82,H04810-04-01,48100401
83,H04903-04-01,49030401
84,H04905-04-01,49050401
85,H04907-04-01,49070401
86,H04908-04-01,49080401
87,H04909-04-01,49090401
88,H04910-04-01,49100401
89,H04912-04-01,49120401
90,H04913-04-01,49130401
91,H04913-04-02,49130402
92,H04913-04-03,49130403
93,H04913-04-05,49130405
94,H04913-04-06,49130406
95,H05002-04-01,50020401
96,H05003-04-01,50030401
97,H05004-04-01,50040401
98,H05005-04-01,50050401
99,H05006-04-01,50060401
100,H05007-04-01,50070401
101,H05008-04-01,50080401
102,H05009-04-01,50090401
103,H05010-04-01,50100401
104,H05101-04-01,51010401
105,H05102-04-01,51020401
106,H05103-04-01,51030401
107,H05104-04-01,51040401
108,H05105-04-01,51050401
109,H05106-04-01,51060401
110,H05107-04-01,51070401
111,H05108-04-01,51080401
112,H05109-04-01,51090401
113,H05302-04-01,53020401
114,H05303-04-01,53030401
115,H05304-04-01,53040401
116,H05305-04-01,53050401
117,H05305-04-02,53050402
118,H05305-04-03,53050403
119,H05306-04-01,53060401
120,H05306-04-02,53060402
121,H05308-04-01,53080401
122,H05309-04-01,53090401
123,H05310-04-01,53100401
124,H05310-04-02,53100402
125,H05403-04-01,54030401
126,H05404-04-01,54040401
127,H05405-04-01,54050401
128,H05407-04-01,54070401
129,H05407-04-02,54070402
130,H05409-04-01,54090401
131,H05410-04-01,54100401
132,H05412-04-01,54120401
133,H05412-04-02,54120402
134,H05412-04-03,54120403
135,H05701-04-01,57010401
136,H05702-04-01,57020401
137,H05703-04-01,57030401
138,H05704-04-01,57040401
139,H05705-04-01,57050401
140,H05706-04-01,57060401
